,precision,recall,f1-score,support
0,0.9761904761904762,0.9761904761904762,0.9761904761904762,42.0
1,0.9861111111111112,0.9861111111111112,0.9861111111111112,72.0
accuracy,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771
macro avg,0.9811507936507937,0.9811507936507937,0.9811507936507937,114.0
weighted avg,0.9824561403508771,0.9824561403508771,0.9824561403508771,114.0
